ID_Nac;X;Y
CSp-NIV_C2-99-0055;-79,739;-1,335
CSp-NVI_C2-87-0067;-79,737;-3,34
CSp-NVI_A2-94-0016;-79,737;-3,111
CSp-NVI_A2-95-0016;-79,737;-3,143
CSp-NIV_C2-99-0051;-79,738;-1,375
CSp-NIV_E2-98-0053;-79,737;-1,744
CSp-NIV_C2-98-0037;-79,737;-1,466
CSp-NIV_E2-86-0049;-79,736;-1,706
CSp-NVI_A4-83-0027;-79,735;-3,242
CSp-NIV_C2-98-0038;-79,736;-1,464
CSp-NVI_C4-95-0042;-79,734;-3,517
CSp-NVI_E2-84-0062;-79,733;-3,705
CSp-NIV_C2-96-0037;-79,735;-1,472
CSp-NVI_C4-83-0056;-79,732;-3,593
CSp-NVI_A2-94-0015;-79,732;-3,108
CSp-NVI_E2-95-0049;-79,729;-3,677
CSp-NVI_E2-95-0050;-79,729;-3,678
CSp-NVI_E2-83-0073;-79,728;-3,816
CSp-NIV_A4-99-0046;-79,73;-1,299
CSp-NIV_E2-98-0060;-79,729;-1,777
CSp-NVI_A4-83-0035;-79,727;-3,326
CSp-NVI_A2-95-0018;-79,727;-3,147
CSp-NVI_C4-84-0059;-79,725;-3,644
CSp-NVI_C4-95-0041;-79,725;-3,502
CSp-NIV_E2-98-0059;-79,725;-1,78
CSp-NVI_A4-83-0033;-79,723;-3,319
CSp-NVI_E2-95-0059;-79,722;-3,685
CSp-NVI_C4-84-0060;-79,722;-3,656
CSp-NVI_A4-83-0034;-79,721;-3,319
CSp-NVI_A2-84-0018;-79,721;-3,095
CSp-NIV_A4-99-0048;-79,722;-1,327
CSp-NVI_A4-94-0009;-79,721;-3,267
CSp-NIV_A4-99-0047;-79,722;-1,313
CSp-NVI_A4-94-0005;-79,72;-3,285
CSp-NVI_C2-98-0063;-79,719;-3,337
CSp-NVI_E4-92-0062;-79,719;-3,834
CSp-NVI_A2-100-0019;-79,719;-3,066
CSp-NIV_A4-99-0049;-79,72;-1,328
CSp-NVI_E4-92-0058;-79,717;-3,87
CSp-NIV_E2-86-0045;-79,719;-1,677
CSp-NVI_E4-92-0059;-79,716;-3,873
CSp-NIV_C2-99-0050;-79,718;-1,36
CSp-NVI_E2-95-0060;-79,715;-3,671
CSp-NV_E4-88-0065;-79,715;-2,982
CSp-NVI_A2-84-0017;-79,714;-3,101
CSp-NVI_E4-92-0060;-79,713;-3,865
CSp-NVI_C4-95-0061;-79,713;-3,664
CSp-NVI_C2-98-0062;-79,712;-3,338
CSp-NVI_A2-92-0015;-79,712;-3,044
CSp-NVI_E4-92-0061;-79,711;-3,849
CSp-NIV_E2-86-0048;-79,713;-1,698
CSp-NIV_A4-99-0042;-79,713;-1,273
CSp-NVI_A2-100-0018;-79,711;-3,08
CSp-NVI_C2-98-0061;-79,71;-3,342
CSp-NVI_C4-95-0062;-79,709;-3,662
CSp-NVI_E4-95-0055;-79,708;-3,903
CSp-NVI_C4-94-0051;-79,71;-1,278
CSp-NIV_A4-99-0043;-79,707;-3,609
CSp-NVI_A2-92-0017;-79,707;-3,024
CSp-NIV_E2-98-0056;-79,708;-1,678
CSp-NIV_E2-86-0046;-79,708;-1,679
CSp-NVI_A2-100-0017;-79,706;-3,075
CSp-NVI_A2-92-0016;-79,705;-3,02
CSp-NVI_C2-98-0060;-79,704;-3,349
CSp-NVI_C4-95-0043;-79,704;-3,522
CSp-NVI_A4-94-0008;-79,704;-3,282
CSp-NIV_E2-86-0047;-79,705;-1,697
CSp-NVI_C4-94-0052;-79,703;-3,61
CSp-NVI_E4-94-0061;-79,702;-3,85
CSp-NVI_A2-84-0016;-79,703;-3,104
CSp-NVI_A2-84-0015;-79,702;-3,106
CSp-NVI_A4-83-0026;-79,702;-3,231
CSp-NVI_E4-94-0059;-79,7;-3,856
CSp-NVI_E4-95-0056;-79,698;-3,896
CSp-NVI_C2-98-0059;-79,697;-3,361
CSp-NIV_A4-86-0042;-79,699;-1,217
CSp-NVI_A4-94-0007;-79,695;-3,272
CSp-NVI_C4-95-0063;-79,694;-3,663
CSp-NVI_C4-84-0041;-79,693;-3,538
CSp-NVI_A4-83-0032;-79,693;-3,32
CSp-NVI_C4-84-0040;-79,691;-3,536
CSp-NVI_E4-94-0060;-79,691;-3,856
CSp-NIV_E4-86-0055;-79,692;-1,852
CSp-NIV_E4-86-0056;-79,692;-1,849
CSp-NIV_A4-86-0041;-79,692;-1,222
CSp-NVI_E2-84-0068;-79,689;-3,683
CSp-NVI_E2-84-0068;-79,689;-3,683
CSp-NVI_A2-84-0014;-79,689;-3,107
CSp-NVI_A4-83-0025;-79,689;-3,226
CSp-NIV_A4-99-0044;-79,69;-1,291
CSp-NV_E4-88-0064;-79,688;-2,986
CSp-NVI_A4-95-0010;-79,686;-3,29
CSp-NVI_E4-95-0057;-79,686;-3,88
CSp-NVI_A4-95-0013;-79,686;-3,316
CSp-NVI_A4-83-0024;-79,685;-3,218
CSp-NVI_C4-94-0053;-79,685;-3,61
CSp-NIV_A4-99-0052;-79,685;-1,261
CSp-NVI_A2-83-0017;-79,683;-3,112
CSp-NVI_E2-83-0074;-79,682;-3,743
CSp-NVI_A4-95-0011;-79,682;-3,305
CSp-NV_E4-88-0063;-79,682;-2,994
CSp-NVI_A4-95-0012;-79,681;-3,307
CSp-NIV_C2-86-0040;-79,683;-1,354
CSp-NIV_E2-86-0057;-79,682;-1,822
CSp-NIV_C4-98-0046;-79,68;-1,576
CSp-NIV_C4-98-0047;-79,679;-1,576
CSp-NVI_E4-95-0058;-79,676;-3,88
CSp-NVI_E4-83-0065;-79,676;-3,869
CSp-NIV_C2-86-0039;-79,677;-1,368
CSp-NIV_E2-86-0058;-79,677;-1,799
CSp-NIV_C4-96-0048;-79,676;-1,562
CSp-NV_E4-88-0062;-79,673;-2,999
CSp-NVI_C4-84-0042;-79,672;-3,582
CSp-NVI_A2-100-0016;-79,673;-3,087
CSp-NVI_E2-84-0070;-79,671;-3,696
CSp-NV_E4-90-0063;-79,672;-2,986
CSp-NV_E4-88-0061;-79,671;-3
CSp-NVI_A2-83-0016;-79,671;-3,121
CSp-NVI_C4-94-0054;-79,67;-3,617
CSp-NVI_E2-84-0071;-79,67;-3,695
CSp-NIV_A4-86-0043;-79,671;-1,257
CSp-NIV_C4-98-0057;-79,669;-1,653
CSp-NVI_A4-95-0014;-79,667;-3,315
CSp-NVI_A2-83-0015;-79,667;-3,121
CSp-NVI_E4-83-0066;-79,665;-3,87
CSp-NIV_C4-96-0047;-79,667;-1,549
CSp-NVI_E2-84-0072;-79,664;-3,712
CSp-NVI_E2-83-0076;-79,664;-3,732
CSp-NVI_C4-84-0043;-79,663;-3,571
CSp-NIV_E2-98-0062;-79,665;-1,776
CSp-NVI_E2-84-0069;-79,662;-3,686
CSp-NIV_A4-86-0044;-79,664;-1,291
CSp-NVI_E2-83-0075;-79,662;-3,732
CSp-NVI_A2-84-0010;-79,662;-3,01
CSp-NVI_E4-83-0067;-79,661;-3,862
CSp-NVI_E4-83-0068;-79,661;-3,854
CSp-NIV_E2-96-0054;-79,662;-1,718
CSp-NVI_A4-94-0006;-79,66;-3,239
CSp-NVI_E2-92-0063;-79,66;-3,681
CSp-NVI_A4-84-0008;-79,659;-3,224
CSp-NVI_C2-87-0070;-79,658;-3,338
CSp-NVI_E2-94-0062;-79,657;-3,825
CSp-NIV_C4-96-0046;-79,659;-1,553
CSp-NIV_C2-86-0038;-79,658;-1,364
CSp-NIV_C2-86-0037;-79,656;-1,355
CSp-NVI_C4-84-0044;-79,653;-3,588
CSp-NVI_C4-95-0052;-79,652;-3,611
CSp-NVI_C4-95-0052;-79,652;-3,611
CSp-NIV_C4-98-0045;-79,654;-1,601
CSp-NVI_E2-83-0078;-79,651;-3,725
