ID_Nac;Hor;Hmor;Mor_Pp;Mor_suf;Mor_ sec;Lim_sup;Lim_inf;CO;pH_H2O;PH;CE_dS/m
CSp-ÑVI_A3-90-0067;2;Bw;B;w;1;40;65;1,131;5,21;0,0521;0,03
CSp-ÑVI_A3-90-0067;3;Cg;C;g;1;65;110;0;0;0;0
CSp-ÑVI_A3-97-0008;1;A;A;;1;0;15;1,357;6,2;0,062;0,03
CSp-ÑVI_A3-97-0008;2;AB;A;b;1;15;25;2,123;6,2;0,062;0,03
CSp-ÑVI_A3-97-0008;3;2Ab1;A;b;2;25;36;5,563;6,3;0,063;0,05
CSp-ÑVI_A3-97-0008;4;3Ab2;A;b;3;36;57;5,655;5,8;0,058;0,05
CSp-ÑVI_A3-97-0008;5;3AB;A;b;3;57;70;0;0;0;0
CSp-ÑVI_A3-97-0008;6;3Bw;B;w;3;70;105;0;0;0;0
CSp-ÑVI_A3-97-0008;7;3C;C;;3;105;160;0;0;0;0
CSp-ÑVI_A3-97-0009;1;A;A;;1;0;18;5,87;6,1;0,061;0,04
CSp-ÑVI_A3-97-0009;2;Bt1;B;t;1;18;28;2,639;5,8;0,058;0,03
CSp-ÑVI_A3-97-0009;3;Bt2;B;t;1;28;60;0,737;6,2;0,062;0,01
CSp-ÑVI_A3-97-0009;4;Bt3;B;t;1;60;125;0,342;6,2;0,062;0,01
CSp-ÑVI_A3-97-0009;5;C;C;;1;125;150;0;0;0;0
CSp-ÑVI_A3-97-0010;1;A;A;;1;0;28;6,671;5,3;0,053;0,06
CSp-ÑVI_A3-97-0010;2;Bt1;B;t;1;28;42;2,349;5,5;0,055;0,03
CSp-ÑVI_A3-97-0010;3;Bt2;B;t;1;42;140;0;0;0;0
CSp-ÑVI_A3-97-0011;1;A;A;;1;0;18;7,831;6,1;0,061;0,03
CSp-ÑVI_A3-97-0011;2;Bt;B;t;1;18;50;0,505;6,5;0,065;0,02
CSp-ÑVI_A3-97-0011;3;Cr;C;r;1;50;160;0;0;0;0
CSp-ÑVI_A3-98-0001;1;A;A;;1;0;40;13,057;5,3;0,053;0,05
CSp-ÑVI_A3-98-0001;2;AB;A;b;1;40;55;3,724;6;0,06;0,02
CSp-ÑVI_A3-98-0001;3;Bw;B;w;1;55;85;0;0;0;0
CSp-ÑVI_A3-98-0001;4;2Ab;A;b;2;85;120;0;0;0;0
CSp-ÑVI_A3-98-0001;5;2Bw;B;w;2;120;150;0;0;0;0
CSp-ÑVI_A3-98-0002;1;A;A;;1;0;55;6,154;5,9;0,059;0,04
CSp-ÑVI_A3-98-0002;2;Bw1;B;w;1;55;70;0;0;0;0
CSp-ÑVI_A3-98-0002;3;Bw2;B;w;1;70;115;0;0;0;0
CSp-ÑVI_A3-98-0002;4;C;C;;1;115;160;0;0;0;0
CSp-ÑVI_A3-98-0003;1;A;A;;1;0;40;6,647;6;0,06;0,04
CSp-ÑVI_A3-98-0003;2;AB;A;b;1;40;50;3,73;6,7;0,067;0,05
CSp-ÑVI_A3-98-0003;3;Bw;B;w;1;50;75;0;0;0;0
CSp-ÑVI_A3-98-0003;4;C;C;;1;75;110;0;0;0;0
CSp-ÑVI_A3-98-0004;1;Oi;O;i;1;0;20;0;0;0;0
CSp-ÑVI_A3-98-0004;2;A1;A;;1;20;60;8,683;6;0,06;0,04
CSp-ÑVI_A3-98-0004;3;A2;A;;1;60;70;2,077;6,2;0,062;0,03
CSp-ÑVI_A3-98-0004;4;Bw;B;w;1;70;90;0;0;0;0
CSp-ÑVI_A3-98-0004;5;C;C;;1;90;155;0;0;0;0
CSp-ÑVI_A3-98-0005;1;Oe;O;e;1;0;20;0;0;0;0
CSp-ÑVI_A3-98-0005;2;A;A;;1;20;60;13,735;5,4;0,054;0,11
CSp-ÑVI_A3-98-0005;3;AB;A;b;1;60;70;5,806;6,5;0,065;0,06
CSp-ÑVI_A3-98-0005;4;Bw;B;w;1;70;105;0;0;0;0
CSp-ÑVI_A3-98-0005;5;Cr;C;r;1;105;155;0;0;0;0
CSp-ÑVI_A3-98-0006;1;A1;A;;1;0;35;4,727;6,1;0,061;0,11
CSp-ÑVI_A3-98-0006;2;A2;A;;1;35;105;1,305;6,4;0,064;0,05
CSp-ÑVI_A3-98-0006;3;2Bw;B;w;2;105;150;0;0;0;0
CSp-ÑVI_A3-98-0007;1;A;A;;1;0;25;1,926;6,8;0,068;0,07
CSp-ÑVI_A3-98-0007;2;Bw;B;w;1;25;110;0,36;6,6;0,066;0,02
CSp-ÑVI_A3-98-0007;3;2C;C;;2;110;150;0;0;0;0
CSp-ÑVI_A3-98-0008;1;Oi;O;i;1;0;19;0;0;0;0
CSp-ÑVI_A3-98-0008;2;A;A;;1;19;50;3,962;5,2;0,052;0,66
CSp-ÑVI_A3-98-0008;3;2Bw1;B;w;2;50;80;0;0;0;0
CSp-ÑVI_A3-98-0008;4;2Bw2;B;w;2;80;100;1,259;6,5;0,065;0,02
CSp-ÑVI_A3-98-0008;5;3Bw3;B;w;3;100;120;0;0;0;0
CSp-ÑVI_A3-98-0008;6;3Cg1;C;g;3;120;160;0;0;0;0
CSp-ÑVI_A3-98-0009;1;Oi;O;i;1;0;28;0;0;0;0
CSp-ÑVI_A3-98-0009;2;A;A;;1;28;46;4,588;6,4;0,064;0,04
CSp-ÑVI_A3-98-0009;3;Bw;B;w;1;46;88;1,038;6,5;0,065;0,02
CSp-ÑVI_A3-98-0009;4;C;C;;1;88;150;0;0;0;0
CSp-ÑVI_A3-98-0010;1;Oi;O;i;1;0;10;0;0;0;0
CSp-ÑVI_A3-98-0010;2;A;A;;1;10;35;5,783;6,5;0,065;0,03
CSp-ÑVI_A3-98-0010;3;Bw;B;w;1;35;85;0,806;6,6;0,066;0,03
CSp-ÑVI_A3-98-0010;4;C;C;;1;85;150;0;0;0;0
CSp-ÑVI_A3-98-0011;1;A;A;;1;0;45;0;0;0;0
CSp-ÑVI_A3-98-0011;2;Cg;C;g;1;45;110;0;0;0;0
CSp-ÑVI_A3-98-0012;1;Oe;O;e;1;0;8;0;0;0;0
CSp-ÑVI_A3-98-0012;2;A;A;;1;8;45;2,761;6,35;0,0635;0,04
CSp-ÑVI_A3-98-0012;3;Bt;B;t;1;45;95;0,899;6,56;0,0656;0,03
CSp-ÑVI_A3-98-0012;4;C;C;;1;95;150;0;0;0;0
CSp-ÑVI_A4-84-0011;1;Ap;A;p;1;0;25;4,24;5,7;0,057;0,13
CSp-ÑVI_A4-84-0011;2;Bw1;B;w;1;25;100;0,325;5,9;0,059;0,01
CSp-ÑVI_A4-84-0011;3;Bw2;B;w;1;100;120;0,093;6,1;0,061;0,01
CSp-ÑVI_A4-84-0012;1;Ap;A;p;1;0;20;2,407;5,7;0,057;0,08
CSp-ÑVI_A4-84-0012;2;BC1;B;C;1;20;70;0,458;6,3;0,063;0,01
CSp-ÑVI_A4-84-0012;3;BC2;B;C;1;70;115;0;0;0;0
CSp-ÑVI_A4-84-0012;4;C;C;;1;115;135;0;0;0;0
CSp-ÑVI_A4-84-0013;1;Ap;A;p;1;0;40;1,206;6,1;0,061;0,01
CSp-ÑVI_A4-84-0013;2;Bw1;B;w;1;40;90;0,458;6,1;0,061;0,02
CSp-ÑVI_A4-84-0013;3;BC;B;C;1;90;135;0;0;0;0
CSp-ÑVI_A4-84-0014;1;A;A;;1;0;30;0,4;7,1;0,071;0,05
CSp-ÑVI_A4-84-0014;2;Bw1;B;w;1;30;70;0,481;7,7;0,077;0,13
CSp-ÑVI_A4-84-0014;3;Bw2;B;w;1;70;125;0;0;0;0
CSp-ÑVI_A4-84-0015;1;Ap;A;p;1;0;20;3,869;6;0,06;0,1
CSp-ÑVI_A4-84-0015;2;Bw1;B;w;1;20;60;1,16;6,4;0,064;0,01
CSp-ÑVI_A4-84-0015;3;Bw2;B;w;1;60;100;0;0;0;0
CSp-ÑVI_A4-84-0015;4;BC;B;C;1;100;115;0;0;0;0
CSp-ÑVI_A4-84-0018;1;Ap;A;p;1;0;40;2,575;5,7;0,057;0,07
CSp-ÑVI_A4-84-0018;2;Bt1;B;t;1;40;80;0,864;6,1;0,061;0,02
CSp-ÑVI_A4-84-0018;3;Bt2;B;t;1;80;120;0,47;6,2;0,062;0,02
CSp-ÑVI_A4-84-0018;4;BC;B;C;1;120;140;0;0;0;0
CSp-ÑVI_A4-84-0019;1;Ap;A;p;1;0;25;4,716;5;0,05;0,03
CSp-ÑVI_A4-84-0019;2;Bt1;B;t;1;25;60;0,986;5,7;0,057;0,01
CSp-ÑVI_A4-84-0019;3;Bt2;B;t;1;60;100;0;0;0;0
CSp-ÑVI_A4-84-0019;4;2Bw;B;w;2;100;145;0;0;0;0
CSp-ÑVI_A4-84-0020;1;Ap;A;p;1;0;30;1,74;6,1;0,061;0,02
CSp-ÑVI_A4-84-0020;2;Bw1;B;w;1;30;60;0,255;6,2;0,062;0,02
CSp-ÑVI_A4-84-0020;3;Bw2;B;w;1;60;90;0;0;0;0
CSp-ÑVI_A4-84-0020;4;BC;B;C;1;90;120;0;0;0;0
CSp-ÑVI_A4-84-0021;1;Ap;A;p;1;0;25;2,564;6;0,06;0,03
CSp-ÑVI_A4-84-0021;2;Bw1;B;w;1;25;60;0,209;6,1;0,061;0,02
CSp-ÑVI_A4-84-0021;3;Bw2;B;w;1;60;105;0;0;0;0
CSp-ÑVI_A4-84-0021;4;C;C;;1;105;140;0;0;0;0
CSp-ÑVI_A4-84-0022;1;Ap;A;p;1;0;30;2,674;6,3;0,063;0,03
CSp-ÑVI_A4-84-0022;2;Bw1;B;w;1;30;60;0,464;6,7;0,067;0,03
CSp-ÑVI_A4-84-0022;3;Bw2;B;w;1;60;90;0;0;0;0
CSp-ÑVI_A4-84-0022;4;BC;B;C;1;90;120;0;0;0;0
CSp-ÑVI_A4-87-0014;1;Ap;A;p;1;0;30;2,407;5,94;0,0594;0,03
CSp-ÑVI_A4-87-0014;2;Bw;B;w;1;30;60;1,305;6,47;0,0647;0,02
CSp-ÑVI_A4-87-0014;3;C;C;;1;60;140;0;0;0;0
CSp-ÑVI_A4-87-0045;1;Ap;A;p;1;0;25;3,329;5,7;0,057;0,04
CSp-ÑVI_A4-87-0045;2;Bw;B;w;1;25;55;1,177;6,2;0,062;0,03
CSp-ÑVI_A4-87-0045;3;BC;B;C;1;55;85;0;0;0;0
CSp-ÑVI_A4-87-0045;4;Cr;C;r;1;85;150;0;0;0;0
CSp-ÑVI_A4-87-0050;1;A;A;;1;0;5;0;0;0;0
CSp-ÑVI_A4-87-0050;2;Cr;C;r;1;5;90;0;0;0;0
CSp-ÑVI_A4-87-0051;1;Ap;A;p;1;0;15;1,937;5,9;0,059;0,07
CSp-ÑVI_A4-87-0051;2;BC;B;C;1;15;65;0;0;0;0
CSp-ÑVI_A4-87-0051;3;Ab;A;b;1;65;85;0;0;0;0
